formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Gd$_{36}$Al$_{24}$Co$_{20}$Y$_{20}$,,3,mm,1048,K,,,0.627862595,,,,,0.149656606,,,,,0.575381679,,,,658,K,,,0.398546336,,,,,,603,K,,,
Ca$_{65}$Mg$_{10}$Zn$_{25}$,2.5459,,,659,K,0.62519,5.3405,0.625189681,2,mm,,,0.187248385,0.40723,0.12411,,,0.57208,1.461,,,412,K,,,0.39768,,,,,35,377,K,1.6649,,0.6783
(Fe$_{0.75}$B$_{0.15}$Si$_{0.10}$)$_{99}$Nb,1.9596,,,1455,K,0.58955,4.3116,0.589690722,0.5,mm,,,0.231932461,0.36769,0.06715,,,0.56,1.3399,,,858,K,,,0.37791,,,,,43,815,K,1.6128,,0.61909
Ca$_{45}$Mg$_{19}$Cu$_{36}$,2.0878,,,714,K,0.59944,4.6455,0.599439776,0.5,mm,,,0.215262082,0.38411,0.09206,,,0.55882,1.3587,,,428,K,,,0.38455,,,,,29,399,K,1.6315,,0.64006
Mg$_{59.4}$Cu$_{23}$Ag$_{6.6}$Gd$_{11}$,,,,700,K,,,,,,,,,,,,,0.607,,,,,,,,,,,,,,425,K,,,
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{13.5}$B$_{6}$,,,,1243,K,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,671,K,,,
Dy$_{46}$Al$_{24}$Co$_{18}$Fe$_{2}$Y$_{10}$,,5,mm,1023,K,,,0.661779081,,,,,,,,,,0.612903226,,,,677,K,,,0.41030303,,,,,,627,K,,,
Pd$_{77}$Cu$_{6}$Si$_{17}$,2.2543,,,1128,K,0.60816,,0.608156028,,,,,0.21044,0.38794,0.09053,125,K/s,0.56915,1.4115,,,686,K,,,0.38757,,,,,44,642,K,1.6377,,0.64716
Pt$_{42.5}$Cu$_{27}$Ni$_{59.5}$P$_{21}$,,20,mm,873,K,,,0.674684994,,,,,0.159647138,,,,,0.589919817,,,,589,K,,,0.424351585,,,,,,515,K,,,
Pd$_{73.5}$Cu$_{10}$Si$_{16.5}$,2.1722,,,1136,K,0.60299,4.6021,0.602992958,2,mm,,,0.217292106,0.38151,0.08147,,,0.56778,1.3951,,,685,K,,,0.38462,,,,,40,645,K,1.6298,,0.6382
