formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Ag30Cu40Zr30,-4.840594137,713.5228,709.9448,753.4057,,0.529274929,
Ag25Cu40Zr35,-4.840594137,696.2587,694.4009,744.1097,,0.535076753,
Ag15Cu40Zr45,-6.262430371,672.8045,671.7915,758.9319,,0.564431147,
Pd42.5Cu30Ni7.5P20,-4.91891836,574,834,660,0.68825,0.46875,0.05436
Pd40Cu30Ni10P20,-4.91891836,586,856,660,0.68458,0.4577,0.07512
Zr26Ti10Cu8Ni8Be20Y4Mg24,-3.806512813,650,951,700,0.68349,0.43723,0.11657865
Pd45Cu25Ni10P20,-4.91891836,595,884,675,0.67308,0.45639,0.07688
Pd42.5Cu27.5Ni10P20,-4.91891836,584,871,665,0.67049,0.45704,0.07545
Pd45Cu30Ni5P20,-4.91891836,577,861,659,0.67015,0.45828,0.07307
Pd40Cu20Ni10P20,-4.91891836,578,862,,0.67,,
Pd40Cu25Ni15P20,-4.91891836,596,910,668,0.65495,0.44356,0.10071
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,-7.601479873,670,1029,712,0.65112,0.41907,0.152311324
Cu57.6Zr28.8Ti9.6Sn4,-5.865047306,745,1135,770,0.65,0.409,0.174979276
Cu58.2Zr29.1Ti9.7Sn3,-5.865047306,747,1148,782,0.65,0.412,0.166852465
Ni59Zr16Ti13Si3Sn2Nb7,-7.180139398,845,1301,885,0.6495,0.4124,0.16729
Zr40Ti15Cu11Ni11Be21.5YMg0.5,-7.019703618,630,975,674,0.64615,0.41994,0.149671471
Ni59Zr20Ti16Si2Sn3,-7.180139398,821,1272,877,0.64544,0.41902,0.151625425
Pd40Ni40P19S,-5.846384821,567,884,,0.641,,
Cu64Zr36,-5.865047306,787,1230,833,0.6398,0.413,0.164411489
Pt57.5Cu14.7Ni5.3P22.5,-6.259584459,508,795,606,0.638993711,0.465080583,0.1322884
Cu54Zr27Ti9Be10,-5.000682333,720,1130,762,0.63717,0.41189,0.166502939
Ni59Zr20Ti16Si5,-7.180139398,830,1304,876,0.6365,0.4105,0.169606513
Ni59Zr20Ti16Sn5,-7.180139398,819,1288,854,0.63587,0.40532,0.181606857
Fe69.12Nb3.84B19.2Si3.84Y4,-8.42098939,905,1424,933,0.63553,0.4006,0.19283056
Pd40Ni40P20,-5.846384821,575,905,640,0.63536,0.43243,0.12141
Zr36Nb12Cu10Ni8Be20Y2Mg12,-7.601479873,653,1029,733,0.6346,0.43579,0.114403386
Zr41Ti14Cu12.5Ni2Be22.5C8,-7.019703618,629,992,727,0.63407,0.44849,0.089134504
Fe68Co4Y6B22,-8.117519369,896,1414,941,0.6337,0.4074,0.176419738
Fe72Y6B22,-8.117519369,898,1419,944,0.6328,0.4074,0.176130759
Fe70Co2Y6B22,-8.117519369,898,1420,944,0.6324,0.4073,0.176466436
