formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Al35Ca65,-2.627357434,563,818,585,0.688,0.424,0.147041968
Ni59Zr16Ti13Si3Sn2Nb7,-7.180139398,845,1301,885,0.6495,0.4124,0.16729
Ni59Zr20Ti16Si2Sn3,-7.180139398,821,1272,877,0.64544,0.41902,0.151625425
Pd40Ni40P19S,-5.846384821,567,884,,0.641,,
Y36Sc20Al24Co10Ni10,-5.869084673,645,1010,731,0.63861,0.44169,0.102896538
Ni59Zr20Ti16Si5,-7.180139398,830,1304,876,0.6365,0.4105,0.169606513
Ni59Zr20Ti16Sn5,-7.180139398,819,1288,854,0.63587,0.40532,0.181606857
Fe69.12Nb3.84B19.2Si3.84Y4,-8.42098939,905,1424,933,0.63553,0.4006,0.19283056
Pd40Ni40P20,-5.846384821,575,905,640,0.63536,0.43243,0.12141
Fe68Co4Y6B22,-8.117519369,896,1414,941,0.6337,0.4074,0.176419738
Fe72Y6B22,-8.117519369,898,1419,944,0.6328,0.4074,0.176130759
Fe70Co2Y6B22,-8.117519369,898,1420,944,0.6324,0.4073,0.176466436
Sc36Al24Co20Y20,-6.22671544,662,1048,760,0.631679389,0.444444444,0.174749271
Ni61Zr28Nb7Al4,-6.969466633,848,1348,898,0.62908,0.40893,0.1720075
Ni61Zr22Nb7Al4Ta6,-6.969466633,867,1379,927,0.62872,0.41273,0.16323599
Ni60Nb40,-7.850685605,933,1484,933,0.62871,0.38602,0.22797
Sm60Fe30Al10,-5.325584538,593,946.6,,0.626,,
Y36Sc20Al24Co20,-5.869084673,645,1034,760,0.62379,0.45265,0.08037293
Sm40Al25Co20Y15,-5.172717823,590,950,657,0.621052632,0.426623377,0.175578392
Ni64Zr36,-6.969466633,834,1343,856,0.621,0.393,0.208107058
Fe67Mo5Y6B22,-8.117519369,920,1483,941,0.6204,0.3916,0.211972189
Fe76Si9B10P5,-8.144105856,780,1258,832,0.62,0.4082,0.172081498
Ni60Nb30Zr10,-7.603533128,875,1413,902,0.61925,0.39423,0.205208184
Ni60Nb25Zr15,-7.603533128,860,1390,891,0.61871,0.396,0.200762899
Nd60Fe30Al10,-5.272308383,591,958,,0.617,,
Ni66Zr34,-6.969466633,859,1393,876,0.617,0.389,0.217716165
Ca55Mg25Ag20,-2.245471158,408.1395,661.8945,432.3881,0.616623225,0.404088163,0.181066096
Fe68Mo4Y6B22,-8.117519369,915,1488,944,0.6149,0.3928,0.207731777
Ni60Nb20Zr20,-7.603533128,853,1391,891,0.61323,0.39706,0.197102592
Fe75Mo4P10C4B4Si3,-7.317944802,752,1227,799,0.613,0.40379,0.181103646
Dy46Al24Co18Fe2Y10,-5.207091855,627,1023,677,0.612903226,0.41030303,
Pd48Ni32P20,-5.846384821,565,923,,0.612,,
Zr55Al20Co25,-7.181339475,761,1245,840,0.61124,0.41874,0.147227702
Ni65Zr35,-6.969466633,827,1353,863,0.611,0.396,0.199569456
Fe69Mo3Y6B22,-8.117519369,908,1488,958,0.6102,0.3998,0.189879427
Fe72B14.4Si9.6Nb4,-8.42098939,835,1369,885,0.61,0.40157,0.185738962
Ca50Mg30Ag20,-2.245471158,418.6047,687.6397,438.7047,0.608755785,0.39657122,0.197380017
Ni60Nb35Zr5,-7.850685605,887,1458,911,0.60837,0.38849,0.21715055
Co48Cr15Mo14C15B6Er2,-8.44686317,848,1394,933,0.60832,0.41615,0.15242973
Fe61B15Mo7Zr8Co7Y2,-8.42098939,904.6,1490,916.4,0.60711,0.38269,0.231588698
Ni60Zr20Ti2.5Nb12.5Al5,-7.603533128,836,1378,897,0.6067,0.4052,0.176800269
Fe69.84Nb3.88B19.4Si3.88Y3,-8.42098939,859,1416,915,0.60664,0.4022,0.183634494
Tb36Al24Co20Y20,-5.211167005,619,1021,868,0.606268364,0.529268293,0.18594699
Nb38Ni62,-7.850685605,892,1473,930,0.606,0.393,0.204805747
Pd82Si18,-5.844767106,648,1071,648,0.60504,0.37696,0.24607
Pr60Fe30Al10,-5.220171613,575,950.1,,0.605,,
Ca66.4Al33.6,-2.627357434,528,873,540,0.60481,0.38544,0.224029393
Fe61B15Mo7Zr8Co5Y2Cr2,-8.42098939,901.1,1490,958.9,0.60477,0.40103,0.186011905
Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1,-8.126932951,795,1316,835,0.6041,0.39555,0.198898105
Fe70.56Nb3.92B19.6Si3.92Y2,-8.42098939,855,1416,903,0.60381,0.39762,0.193869836
Er50Al24Co20Y6,-5.224361513,651,1079,702,0.603336423,0.405780347,0.131787543
Fe56Co20Mo4P9C4B4Si3,-7.583582004,736,1220,778,0.6033,0.3978,0.193461018
Fe71.28Nb3.96B19.8Si3.96Y,-8.42098939,855,1419,881,0.60254,0.38742,0.218507593
Ca60Mg20Ag20,-2.245471158,401,666.1158,441.1303,0.601997447,0.412,0.157469943
Fe61B15Mo7Zr8Co6Y2Al,-8.42098939,899.5,1495,955.6,0.60167,0.39908,0.189987651
