formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Al13.3Co26.7Zr60,-7.181339475,718,1254,757,0.573,0.383874239,0.220286119
Al15.4Co26Zr58.6,-7.181339475,724,1282,773,0.565,0.385343968,0.214776112
Al15Ca70Mg15,-2.472660443,420,771,460,0.544747082,0.386230059,0.207753806
Al16.9Co25.6Zr57.5,-7.181339475,744,1300,786,0.572,0.384540117,0.218580541
Al18Sr82,-2.129672648,455,863,,0.527,,
Al19.4Co24.8Zr55.8,-7.181339475,751,1302,820,0.577,0.39941549,0.184241384
Al20Ca65Mg15,-2.627357434,463,776,491,0.596649485,0.396287328,0.195596607
Al21.2Co21.2Zr57.6,-7.181339475,761,1324,794,0.574,0.380815348,0.228462268
Al22.3Co22.3Zr55.4,-7.181339475,767,1326,815,0.578,0.389393215,0.20818504
Al22Co24Zr54,-7.181339475,768,1316,843,0.584,0.404510557,0.173987883
Al23.5Co23.5Zr53,-7.181339475,783,1320,849,0.59,0.403708987,0.177610985
Al25Au20La55,-4.71602974,531,,577,,,
Al28.5Ca56.5Mg15,-2.810043724,503,,528,,,
Al30Ca60Cu10,-2.627357434,498,,519,,,
Al30Ca60Mg10,-2.810043724,508,873,523,0.581901489,0.378711079,0.235620543
Al30Sr70,-2.129672648,530,953,,0.556,,
Al32Ca58Mg10,-2.810043724,513,873,539,0.587628866,0.388888889,0.211502783
Al35Ca65,-2.627357434,563,818,585,0.688,0.424,0.147041968
Al35La50Ni15,-5.108009551,532,971,596,0.548,0.397,0.185
Al35Sr65,-2.129672648,490,993,,0.493,,
Al40La45Ni15,-5.108009551,540,1097,600,0.492,0.367,0.24
Al85Co5Y10,-4.548023915,591.36,1232,587,0.48,0.321933134,0.358778949
Al85Ni5Y10,-3.993672355,537,1249,560,0.42,0.314,0.358
Al86.5Co4.5Y9,-4.548023915,543,1231,563,0.44,0.317361894,0.352300148
Al86.5Ni4.5Y9,-4.548023915,505,1222,526,0.41,0.305,0.375
Al88Co4Y8,-4.548023915,511.27,1189,507,0.43,0.298187935,0.407023489
Al88Ni4Y8,-4.548023915,464,1189,465,0.39,0.281,0.436
Al89.5Co3.5Y7,-4.548023915,463.32,1188,460,0.39,0.278565027,0.446066312
Al89.5Ni3.5Y7,-4.548023915,424,1146,428,0.37,0.273,0.451
Ca60Al30Ag10,-2.627357434,483,868,531,0.55645,0.39304,0.194579028
Ca63Al32Ag5,-2.627357434,503,,527,,,
Ca63Al32Cu5,-2.627357434,512,831,523,0.61613,0.38943,0.216497077
Ca66.4Al33.6,-2.627357434,528,873,540,0.60481,0.38544,0.224029393
Ce55Al25Cu20,-4.427513418,439,744.0678,479,0.59,0.404879586,0.174354328
Ce60Al20Co20,-5.084310015,424,798.4934,468,0.531,0.38282415,0.212318634
Ce60Al20Cu20,-4.427513418,396,702.1277,444,0.564,0.404324576,0.17066427
Ce65Al15Cu20,-4.352565603,363,772.3404,425,0.47,0.374337063,0.214661865
Ce68Al10Cu20Fe2,-4.352565603,352,708,423,0.497175141,0.399056604,0.096783626
Ce70Al10Cu20,-4.352565603,341,,401,,,0.168000357
Ce70Al15Cu15,-4.679934366,364,774.4681,406,0.47,0.356619571,0.257095942
Cu34Zr50Ag8Al8,-6.466345613,680,1148,780,0.5923,0.4267,0.127811861
