formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Ag10Cu20Zr70,-7.307429458,625.5658,,664.274,,,
Ag10Cu25Zr65,-7.167059444,625.8273,,690.3411,,,
Ag10Cu35Zr55,-6.466345613,647.0776,1210.869,730.9455,0.534391278,0.393415876,0.188709549
Ag10Cu50Zr40,-5.865047306,699.5387,1150.093,760.8704,0.608245173,0.411363119,0.162984207
Ag10Cu55Zr35,-5.865047306,730.4225,1200.345,767.5179,0.608510326,0.397519544,0.195054808
Ag15Cu40Zr45,-6.262430371,672.8045,671.7915,758.9319,,0.564431147,
Ag15Cu45Zr40,-6.262430371,,1188.829,,0.586262414,,
Ag20Cu30Zr50,-5.910399823,669,,,,,
Ag20Cu35Zr45,-5.910399823,680,,,,,
Ag20Cu40Zr40,-4.840594137,698,1209.079,,,,
Ag25Cu35Zr40,-4.840594137,,1220.177,,0.56452735,,
Ag25Cu40Zr35,-4.840594137,696.2587,694.4009,744.1097,,0.535076753,
Ag30Cu30Zr40,-4.840594137,677,,,,,
Ag30Cu40Zr30,-4.840594137,713.5228,709.9448,753.4057,,0.529274929,
Ag5Cu55Zr40,-5.865047306,,1171.82,,0.598170354,,
Al30Ca60Cu10,-2.627357434,498,,519,,,
Au49Ag5.5Pd2.3Cu26.9Si16.3,-3.842219455,401,644,459,0.622670807,0.43923445,0.21400541
Au55Cu25Si20,-3.842219455,348,654,383,0.532110092,0.382235529,
Ca40Mg25Cu35,-2.302321718,399,680,436,0.58676,0.40408,0.17556488
Ca40Mg30Cu30,-2.302321718,395,694,430,0.56916,0.39486,0.193169526
Ca45Mg19Cu36,-5.136671893,399,714,428,0.55882,0.38455,0.215262082
Ca45Mg25Cu30,-2.302321718,400,678,438,0.58997,0.40631,0.171127387
Ca45Mg30Cu25,-2.302321718,401,717,436,0.55927,0.38998,0.202371797
Ca47.5Mg22.5Cu30,-2.302321718,399,673,440,0.59287,0.41045,0.162414124
Ca47Mg19Zn7Cu27,-2.302321718,393,676,440,0.58136,0.4116,0.157915515
Ca50Mg10Zn15Cu25,-2.37281449,395,702,427,0.56268,0.38924,0.204913834
Ca50Mg15Zn10Cu25,-2.302321718,395,678,434,0.5826,0.40447,0.173885827
Ca50Mg20Cu30,-2.302321718,401,690,442,0.58116,0.40513,0.172134816
Ca50Mg20Zn5Cu25,-2.302321718,399,654,441,0.61009,0.4188,0.146927021
Ca50Mg22.5Cu27.5,-2.302321718,400,663,442,0.60332,0.4158,0.152390241
Ca50Mg25Cu25,-2.302321718,400,655,439,0.61069,0.41611,0.1528678
Ca50Mg25Zn15Cu10,-1.82594418,383,723,430,0.52974,0.38879,0.19811003
Ca50Mg30Cu20,-2.302321718,402,731,439,0.54993,0.38747,0.206096329
Ca53Mg23Cu24,-2.302321718,406,655,439,0.61985,0.41376,0.15951253
Ca55Mg10Cu35,-2.67684145,397,770,422,0.51558,0.36161,0.260382763
Ca55Mg11Zn11Cu23,-2.37281449,379,717,430,0.52859,0.39234,0.189789334
Ca55Mg15Cu30,-2.302321718,397,706,437,0.56232,0.39619,0.18861163
Ca55Mg20Cu25,-2.302321718,399,720,426,0.55417,0.3807,0.223483663
Ca55Mg25Cu20,-2.302321718,398,668,428,0.59581,0.4015,0.183190445
Ca57Mg19Cu24,-2.302321718,404,,440,,,
Ca58Mg18Cu24,-2.302321718,388,667,426,0.58171,0.40379,0.175254118
Ca60Mg13Cu27,-2.302321718,394,701,426,0.56205,0.38904,0.20524609
Ca60Mg15Cu25,-2.302321718,396,687,428,0.57642,0.3952,0.193929991
Ca60Mg20Cu20,-2.302321718,387,678,412,0.5708,0.38685,0.212557922
Ca60Mg25Cu15,-2.302321718,390,676,416,0.57692,0.39024,0.205790958
Ca63Al32Cu5,-2.627357434,512,831,523,0.61613,0.38943,0.216497077
Ca65Cu35,-2.67684145,438,1033,441,0.424,0.3,0.397684023
Ca65Mg10Cu25,-2.67684145,388,711,420,0.54571,0.38217,0.217713141
Ca65Mg15Cu20,-2.237603128,383,682,409,0.56158,0.38404,0.217183564
Ca65Mg20Cu15,-1.875964028,386,679,405,0.56848,0.38028,0.228206298
Ca65Mg25Cu10,-1.887705263,405,691,429,0.58611,0.39142,0.205006253
Ca65Mg5Cu30,-2.67684145,403,757,424,0.53236,0.36552,0.255643326
Ca67Mg19Cu14,-1.875964028,387,,407,,,
Ca70Mg10Cu20,-2.237603128,385,713,407,0.53997,0.37067,0.244672262
Ca70Mg20Cu10,-1.875964028,356,702,385,0.50712,0.36389,0.251705303
Ce55Al25Cu20,-4.427513418,439,744.0678,479,0.59,0.404879586,0.174354328
Ce60Al20Cu20,-4.427513418,396,702.1277,444,0.564,0.404324576,0.17066427
Ce65Al15Cu20,-4.352565603,363,772.3404,425,0.47,0.374337063,0.214661865
Ce68Al10Cu20Fe2,-4.352565603,352,708,423,0.497175141,0.399056604,0.096783626
Ce70Al10Cu20,-4.352565603,341,,401,,,0.168000357
Ce70Al15Cu15,-4.679934366,364,774.4681,406,0.47,0.356619571,0.257095942
Cu25Zr75,-7.307429458,571,1363,618,0.419,0.32,0.333462181
Cu28Zr72,-7.167059444,600,1268,666,0.473,0.356,0.258502614
Cu33.5Zr66.5,-7.073409987,631,1273,690,0.496,0.362,0.251677628
Cu34Zr50Ag8Al8,-6.466345613,680,1148,780,0.5923,0.4267,0.127811861
Cu35Ag25Zr30Ti10,-4.840594137,677,1138,706,0.5949,0.38898,0.212919985
Cu38Zr46Ag8Al8,-6.466345613,692,1145,795,0.6044,0.4328,0.117038459
Cu40Ag20Zr30Ti10,-4.766611055,677,1125,708,0.60178,0.3929,0.204825693
Cu40Zr40Ag10Al10,-6.262430371,710,1273,765,0.5577,0.3858,0.212017131
