formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Al15Ca70Mg15,-2.472660443,420,771,460,0.544747082,0.386230059,0.207753806
Al20Ca65Mg15,-2.627357434,463,776,491,0.596649485,0.396287328,0.195596607
Al28.5Ca56.5Mg15,-2.810043724,503,,528,,,
Al30Ca60Mg10,-2.810043724,508,873,523,0.581901489,0.378711079,0.235620543
Al32Ca58Mg10,-2.810043724,513,873,539,0.587628866,0.388888889,0.211502783
Ca40Mg25Cu35,-2.302321718,399,680,436,0.58676,0.40408,0.17556488
Ca40Mg30Cu30,-2.302321718,395,694,430,0.56916,0.39486,0.193169526
Ca45Mg19Cu36,-5.136671893,399,714,428,0.55882,0.38455,0.215262082
Ca45Mg25Cu30,-2.302321718,400,678,438,0.58997,0.40631,0.171127387
Ca45Mg30Cu25,-2.302321718,401,717,436,0.55927,0.38998,0.202371797
Ca47.5Mg22.5Cu30,-2.302321718,399,673,440,0.59287,0.41045,0.162414124
Ca47Mg19Zn7Cu27,-2.302321718,393,676,440,0.58136,0.4116,0.157915515
Ca50Mg10Zn15Cu25,-2.37281449,395,702,427,0.56268,0.38924,0.204913834
Ca50Mg15Zn10Cu25,-2.302321718,395,678,434,0.5826,0.40447,0.173885827
Ca50Mg20Cu30,-2.302321718,401,690,442,0.58116,0.40513,0.172134816
Ca50Mg20Zn5Cu25,-2.302321718,399,654,441,0.61009,0.4188,0.146927021
Ca50Mg22.5Cu27.5,-2.302321718,400,663,442,0.60332,0.4158,0.152390241
Ca50Mg25Cu25,-2.302321718,400,655,439,0.61069,0.41611,0.1528678
Ca50Mg25Zn15Cu10,-1.82594418,383,723,430,0.52974,0.38879,0.19811003
Ca50Mg30Ag20,-2.245471158,418.6047,687.6397,438.7047,0.608755785,0.39657122,0.197380017
Ca50Mg30Cu20,-2.302321718,402,731,439,0.54993,0.38747,0.206096329
Ca53Mg23Cu24,-2.302321718,406,655,439,0.61985,0.41376,0.15951253
Ca55Mg10Cu35,-2.67684145,397,770,422,0.51558,0.36161,0.260382763
Ca55Mg11Zn11Cu23,-2.37281449,379,717,430,0.52859,0.39234,0.189789334
Ca55Mg15Cu30,-2.302321718,397,706,437,0.56232,0.39619,0.18861163
Ca55Mg15Zn30,-1.82594418,387,696,419,0.55603,0.38689,0.208947115
Ca55Mg18Zn27,-1.82594418,389,671,419,0.57973,0.39528,0.194439043
Ca55Mg20Cu25,-2.302321718,399,720,426,0.55417,0.3807,0.223483663
Ca55Mg20Zn25,-1.82594418,383,702,428,0.54558,0.39447,0.188868113
Ca55Mg25Ag20,-2.245471158,408.1395,661.8945,432.3881,0.616623225,0.404088163,0.181066096
Ca55Mg25Cu20,-2.302321718,398,668,428,0.59581,0.4015,0.183190445
Ca55Mg25Zn20,-1.82594418,375,751,418,0.49933,0.37123,0.231053604
Ca57Mg19Cu24,-2.302321718,404,,440,,,
Ca58Mg18Cu24,-2.302321718,388,667,426,0.58171,0.40379,0.175254118
Ca60Mg10Zn30,-1.915500342,380,666,400,0.57057,0.38241,0.223423745
Ca60Mg13Cu27,-2.302321718,394,701,426,0.56205,0.38904,0.20524609
Ca60Mg15Cu25,-2.302321718,396,687,428,0.57642,0.3952,0.193929991
Ca60Mg15Zn25,-1.82594418,379,650,427,0.58308,0.41497,0.150950232
Ca60Mg17.5Zn22.5,-1.82594418,383,650,421,0.58923,0.40755,0.168208579
Ca60Mg20Ag20,-2.245471158,401,666.1158,441.1303,0.601997447,0.412,0.157469943
Ca60Mg20Cu20,-2.302321718,387,678,412,0.5708,0.38685,0.212557922
Ca60Mg20Zn20,-1.82594418,378,660,415,0.57273,0.39981,0.182518389
Ca60Mg25Cu15,-2.302321718,390,676,416,0.57692,0.39024,0.205790958
Ca60Mg25Zn15,-1.82594418,377,744,409,0.50672,0.36485,0.249146673
Ca62.5Mg17.5Zn20,-1.82594418,375,640,412,0.58594,0.40591,0.171276869
Ca65Mg10Cu25,-2.67684145,388,711,420,0.54571,0.38217,0.217713141
Ca65Mg10Zn25,-1.934044093,377,659,412,0.57208,0.39768,0.187248385
Ca65Mg15Ag20,-2.21160367,388.3721,664.5798,424.051,0.584387467,0.402725922,0.17817921
Ca65Mg15Cu20,-2.237603128,383,682,409,0.56158,0.38404,0.217183564
Ca65Mg15Zn20,-1.934044093,375,630,410,0.59524,0.40796,0.16837
Ca65Mg20Cu15,-1.875964028,386,679,405,0.56848,0.38028,0.228206298
Ca65Mg20Zn15,-1.875964028,380,668,405,0.56886,0.38645,0.213078775
Ca65Mg25Cu10,-1.887705263,405,691,429,0.58611,0.39142,0.205006253
Ca65Mg25Zn10,-1.887705263,387,759,405,0.50988,0.3534,0.28015913
Ca65Mg35,-1.887705263,411,987,414,0.417,0.296,0.404770791
Ca65Mg5Cu30,-2.67684145,403,757,424,0.53236,0.36552,0.255643326
Ca67Mg19Cu14,-1.875964028,387,,407,,,
Ca70Mg10Ag20,-2.21160367,377.907,673.9274,418.8147,0.560753232,0.398175517,0.183757552
Ca70Mg10Cu20,-2.237603128,385,713,407,0.53997,0.37067,0.244672262
Ca70Mg10Zn20,-1.934044093,367,657,399,0.5586,0.38965,0.203004466
Ca70Mg15Zn15,-1.934044093,371,688,397,0.53924,0.37488,0.233847017
Ca70Mg20Cu10,-1.875964028,356,702,385,0.50712,0.36389,0.251705303
Mg30Sr70,-1.671003602,390,699,,0.558,,
Mg35Sr65,-1.671003602,383,756,,0.507,,
Mg57Cu31.5Y8Nd3.5,-2.386761387,426,778,501,0.54756,0.41611,0.142657422
Mg57Cu31.5Y9.2Nd2.3,-2.386761387,428,777,502,0.55084,0.4166,0.142217166
Mg57Cu31Y6.6Nd5.4,-2.386761387,427,778,491,0.54884,0.40747,0.160939889
Mg58.5Cu30.5Gd11,-2.386761387,427,753,490,0.56707,0.41525,0.147699579
Mg58.5Cu30.5Y11,-2.386761387,422,762,496,0.55381,0.41892,0.137969095
Mg59.4Cu23Ag6.6Gd11,-2.386761387,425,700,,0.607,,
Mg59Cu31Gd10,-2.386761387,424,769,482,0.55137,0.40402,0.168856168
Mg60.5Cu28.5Gd11,-2.386761387,425,755,485,0.56291,0.41102,0.155950283
Mg61.5Cu29.5Gd9,-2.386761387,433,785,472,0.55159,0.38752,0.206372792
Mg61Cu28Gd11,-2.386761387,422,737,483,0.57259,0.41674,0.145492638
Mg61Cu29Gd10,-2.386761387,420,762,480,0.55118,0.40609,0.164341238
Mg62.5Cu26.5Gd11,-2.386761387,427,748,483,0.57086,0.41106,0.157250012
Mg63.5Cu27.5Gd9,-2.386761387,425,773,469,0.54981,0.39149,0.196668437
Mg63Cu27Gd10,-2.386761387,418,755,481,0.55364,0.41006,0.156320833
Mg64.5Cu24.5Gd11,-2.386761387,413,739,472,0.55886,0.40972,0.157985371
Mg65.5Cu25.4Gd9,-2.386761387,411,741,457,0.55466,0.3967,0.185801081
Mg65Cu15Ag10Er10,-2.102638078,427,733,465,0.58254,0.40086,0.182073084
Mg65Cu15Ag10Gd10,-2.102638078,416,686,459,0.60641,0.41652,0.151327139
Mg65Cu15Ag10Y10,-2.856289631,428,694,469,0.616714697,0.418003565,0.141126709
Mg65Cu15Ag10Y2Gd8,-2.102638078,420,683,464,0.61493,0.42067,0.143612132
Mg65Cu15Ag10Y4Gd6,-2.856289631,424,682,467,0.6217,0.42224,0.141195075
Mg65Cu15Ag10Y6Gd4,-2.856289631,427,685,472,0.623357664,0.424460432,0.136675405
Mg65Cu15Ag10Y8Gd2,-2.856289631,428,690,472,0.620289855,0.422182469,0.136675405
Mg65Cu15Ag5Pd5Gd10,-2.102638078,430,748,472,0.57487,0.40068,0.180965996
Mg65Cu15Ag5Pd5Y10,-2.856289631,437,,471,,,
Mg65Cu20Ni5Gd10,-2.102638078,420,786,481,0.534351145,0.398839138,
Mg65Cu20Zn5Y10,-2.856289631,404,,456,,,
Mg65Cu25Dy10,-2.386761387,422,750,492,0.56267,0.4198,0.13758754
Mg65Cu25Er10,-2.386761387,422,766,480,0.55091,0.40404,0.16872796
Mg65Cu25Gd10,-2.386761387,423,740,484,0.57162,0.41617,0.14654
Mg65Cu25Gd5Y5,-2.386761387,413,755,486,0.54702,0.4161,0.142602496
Mg65Cu25Ho10,-2.386761387,417,751,473,0.55526,0.40497,0.167565937
Mg65Cu25Nd10,-2.386761387,423,744,456,0.56855,0.39075,0.202695855
Mg65Cu25Pr10,-2.386761387,413,784,446,0.52679,0.3726,0.235949224
Mg65Cu25Tb10,-2.542384796,414,733,487,0.564802183,0.424585876,0.12597707
