formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Ag30Cu40Zr30,-4.840594137,713.5228,709.9448,753.4057,,0.529274929,
Ag25Cu40Zr35,-4.840594137,696.2587,694.4009,744.1097,,0.535076753,
Ag15Cu40Zr45,-6.262430371,672.8045,671.7915,758.9319,,0.564431147,
Zr26Ti10Cu8Ni8Be20Y4Mg24,-3.806512813,650,951,700,0.68349,0.43723,0.11657865
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,-7.601479873,670,1029,712,0.65112,0.41907,0.152311324
Cu57.6Zr28.8Ti9.6Sn4,-5.865047306,745,1135,770,0.65,0.409,0.174979276
Cu58.2Zr29.1Ti9.7Sn3,-5.865047306,747,1148,782,0.65,0.412,0.166852465
Ni59Zr16Ti13Si3Sn2Nb7,-7.180139398,845,1301,885,0.6495,0.4124,0.16729
Cu58.1Zr35.9Al6,-5.865047306,760,1173,799,0.648,0.413,0.165
Zr40Ti15Cu11Ni11Be21.5YMg0.5,-7.019703618,630,975,674,0.64615,0.41994,0.149671471
Ni59Zr20Ti16Si2Sn3,-7.180139398,821,1272,877,0.64544,0.41902,0.151625425
Zr54Al15Ni10Cu19Y2,-6.399153005,714,1112,787,0.64209,0.431,0.125205023
Cu64Zr36,-5.865047306,787,1230,833,0.6398,0.413,0.164411489
Zr51Cu20.7Ni12Al16.3,-6.399153005,722,1132,800,0.63781,0.4315,0.123643018
Cu54Zr27Ti9Be10,-5.000682333,720,1130,762,0.63717,0.41189,0.166502939
Ni59Zr20Ti16Si5,-7.180139398,830,1304,876,0.6365,0.4105,0.169606513
Ni59Zr20Ti16Sn5,-7.180139398,819,1288,854,0.63587,0.40532,0.181606857
Zr36Nb12Cu10Ni8Be20Y2Mg12,-7.601479873,653,1029,733,0.6346,0.43579,0.114403386
Zr41Ti14Cu12.5Ni2Be22.5C8,-7.019703618,629,992,727,0.63407,0.44849,0.089134504
Cu58.7Zr36.3Al5,-5.865047306,748,1179,803,0.634,0.417,0.155
Cu59.4Zr29.7Ti9.9Sn,-5.865047306,730,1155,776,0.63203,0.41167,0.166184731
Cu47Ti33Zr11SiNi6Sn2,-5.968889323,720,1140,765,0.63158,0.41129,0.166983936
Cu43Zr43Al7Ag7,-6.262430371,710,1125,797,0.63111,0.43433,0.116998748
Cu43Zr43Al7Be7,-6.262430371,710,1126,813,0.63055,0.44281,0.099890121
Cu58.8Zr29.4Ti9.8Y2,-5.865047306,707,1122,757,0.63012,0.41389,0.160849284
Cu58.8Zr29.4Ti9.8Sn2,-5.865047306,730,1150,772,0.63,0.41,0.16900011
Zr41Ti14Cu12.5Ni8Be22.5C2,-7.019703618,628,997,683,0.62989,0.42031,0.146550208
Ni61Zr28Nb7Al4,-6.969466633,848,1348,898,0.62908,0.40893,0.1720075
Cu62Zr38,-5.865047306,728,1158,793,0.629,0.421,0.146028545
