formula,,,,,,,,,,,,,,,
Gd,36,Al,24,Co,20,Y,20,,,,,,,,
Ca,65,Mg,10,Zn,25,,,,,,,,,,
Fe,74.25,B,14.85,Si,9.9,Nb,,,,,,,,,
Fe,45,Mg,19,Cu,36,,,,,,,,,,
Mg,59.4,Cu,23,Ag,6.6,Gd,11,,,,,,,,
Ni,69,Cr,8.5,Nb,3,P,13.5,B,6,,,,,,
Dy,46,Al,24,Co,18,Fe,2,Y,10,,,,,,
Pd,77,Cu,6,Si,17,,,,,,,,,,
Pt,42.5,Cu,27,Ni,59.5,P,21,,,,,,,,
Pd,73.5,Cu,10,Si,16.5,,,,,,,,,,
Mg,65,Cu,15,Ag,5,Pd,5,Y,10,,,,,,
Ni,42,Ti,20,Zr,20.5,Al,8,Cu,5,Si,4.5,,,,
Cu,60,Hf,40,,,,,,,,,,,,
Zr,45.38,Ti,9.62,Cu,8.75,Ni,10,Be,26.25,,,,,,
Cu,55,Zr,40,Ga,5,,,,,,,,,,
Zr,51,Cu,20.7,Ni,12,Al,16.3,,,,,,,,
Pd,45,Cu,25,Ni,10,P,20,,,,,,,,
Cu,45,Zr,48,Al,7,,,,,,,,,,
La,62,Al,14,Cu,16.66,Ag,3.34,Ni,0.6,Co,0.6,,,,
Ti,50,Ni,24,Cu,20,BSi,2,Sn,3,,,,,,
Ni,66,Zr,34,,,,,,,,,,,,
Cu,60,Hf,25,Ti,15,,,,,,,,,,
Ca,70,Mg,15,Zn,15,,,,,,,,,,
Co,64.8,Fe,7.2,B,19.2,Si,4.8,Nb,4,,,,,,
Co,43,Fe,20,Ta,5.5,B,31.5,,,,,,,,
Cu,65,Hf,35,,,,,,,,,,,,
Cu,55,Hf,45,,,,,,,,,,,,
Fe,0.432,Co,0.288,B,0.192,Si,0.048,Nb,0.04,Cr,3,,,,
Cu,44,Zr,44,Ag,12,,,,,,,,,,
Au,35,Ca,65,,,,,,,,,,,,
Mg,65,Cu,15,Ag,10,Y,10,,,,,,,,
Ag,10,Cu,25,Zr,65,,,,,,,,,,
Fe,58,Cr,5,Mo,14,Er,2,C,15,B,6,,,,
Ca,40,Mg,30,Cu,30,,,,,,,,,,
Mg,65,Cu,15,Ag,10,Gd,10,,,,,,,,
Fe,74.5,Mo,5.5,P,12.5,C,5,B,2.5,,,,,,
Cu,50,Zr,45,Al,5,,,,,,,,,,
Ce,70,Al,15,Cu,15,,,,,,,,,,
Fe,72,Nb,4,B,20,Si,4,,,,,,,,
Cu,45,Zr,45,Al,10,,,,,,,,,,
Pd,79,Cu,3,Ag,3,Si,10,P,5,,,,,,
Ca,50,Mg,22.5,Cu,27.5,,,,,,,,,,
Ca,55,Mg,20,Zn,25,,,,,,,,,,
Cu,60,Zr,40,,,,,,,,,,,,
Ti,55,Zr,10,Cu,9,Ni,8,Be,18,,,,,,
Ti,45,Ni,15,Cu,25,Sn,3,Be,7,Zr,5,,,,
Mg,75,Ni,15,Nd,10,,,,,,,,,,
Fe,69,Ni,3,Y,6,B,22,,,,,,,,
Fe,70,Co,2,Y,6,B,22,,,,,,,,
La,55,Al,25,Ni,5,Cu,15,,,,,,,,
Pd,42.5,Cu,30,Ni,7.5,P,20,,,,,,,,
Fe,68,Mo,4,Y,6,B,22,,,,,,,,
Ca,55,Mg,15,Cu,30,,,,,,,,,,
Zr,48,Cu,36,Ag,8,Al,8,,,,,,,,
Cu,51.5,Zr,40.5,Al,8,,,,,,,,,,
Co,43.2,Fe,28.8,B,19.2,Si,4.8,Nb,4,,,,,,
Ca,65,Mg,20,Zn,15,,,,,,,,,,
Ca,40,Mg,25,Cu,35,,,,,,,,,,
La,55,Al,25,Ni,5,Cu,10,Co,5,,,,,,
Ni,60,Zr,20,Ti,5,Nb,10,Al,5,,,,,,
Zr,54,Cu,38,Al,8,,,,,,,,,,
