formula,main_element,PROPERTY: Trg,Logans_data,Glass forming ability
Ag20Al25La55,La,0,1,1
Ag15Al10Mg75,Mg,0,1,1
Ag25Al10Mg65,Mg,0,1,1
Ag25Al20Mg55,Mg,0,1,1
Ag35Al10Mg55,Mg,0,1,1
Ag35Al20Mg45,Mg,0,1,1
Ag45Al20Mg35,Ag,0,1,1
Ag10Ce6Cu84,Cu,0,1,1
Ag10Ce10Cu80,Cu,0,1,1
Ag15Ce6Cu79,Cu,0,1,1
Ag20Ce6Cu74,Cu,0,1,1
Ag20Ce10Cu70,Cu,0,1,1
Ag25Ce6Cu69,Cu,0,1,1
Ag30Ce6Cu64,Cu,0,1,1
Ag30Ce10Cu60,Cu,0,1,1
Ag35Ce4Cu61,Cu,0,1,1
Ag35Ce5Cu60,Cu,0,1,1
Ag35Ce6Cu59,Cu,0,1,1
Ag40Ce3Cu57,Cu,0,1,1
Ag40Ce4Cu56,Cu,0,1,1
Ag40Ce5Cu55,Cu,0,1,1
Ag40Ce8Cu52,Cu,0,1,1
Ag40Ce10Cu50,Cu,0,1,1
Ag45Ce3Cu52,Cu,0,1,1
Ag45Ce4Cu51,Cu,0,1,1
Ag45Ce5Cu50,Cu,0,1,1
Ag50Ce3Cu47,Ag,0,1,1
Ag50Ce4Cu46,Ag,0,1,1
Ag50Ce5Cu45,Ag,0,1,1
Ag50Ce10Cu40,Ag,0,1,1
Ag55Ce5Cu40,Ag,0,1,1
Ag55Ce6Cu39,Ag,0,1,1
Ag55Ce8Cu37,Ag,0,1,1
Ag6Ce8Cu86,Cu,0,1,0
Ag20Ce5Cu75,Cu,0,1,0
Ag30Ce5Cu65,Cu,0,1,0
Ag35Ce3Cu62,Cu,0,1,0
Ag45Ce2Cu53,Cu,0,1,0
Ag50Ce2Cu48,Ag,0,1,0
Ag60Ce5Cu35,Ag,0,1,0
Ag60Ce10Cu30,Ag,0,1,0
Ag5Ce5Cu90,Cu,0,1,0
Ag5Ce6Cu89,Cu,0,1,0
Ag5Ce8Cu87,Cu,0,1,0
Ag10Ce3Cu87,Cu,0,1,0
Ag10Ce5Cu85,Cu,0,1,0
Ag10Ce6Cu84,Cu,0,1,0
Ag15Ce4Cu81,Cu,0,1,0
Ag20Ce3Cu77,Cu,0,1,0
Ag20Ce4Cu76,Cu,0,1,0
Ag30Ce3Cu67,Cu,0,1,0
Ag40Ce1Cu59,Cu,0,1,0
Ag40Ce2Cu58,Cu,0,1,0
Ag60Ce3Cu37,Ag,0,1,0
Ag70Ce5Cu25,Ag,0,1,0
Ag70Ce10Cu20,Ag,0,1,0
Ag28Cu30Fe42,Fe,0,1,1
Ag29Cu30Fe41,Fe,0,1,1
Ag30Cu30Fe40,Fe,0,1,1
Ag38Cu22Fe40,Fe,0,1,1
Ag41Cu23Fe36,Ag,0,1,1
Ag46Cu12Fe42,Ag,0,1,1
Ag21Cu42Fe37,Cu,0,1,0
Ag22Cu41Fe37,Cu,0,1,0
Ag26Cu44Fe30,Cu,0,1,0
Ag29Cu31Fe40,Fe,0,1,0
Ag31Cu37Fe32,Cu,0,1,0
Ag36Cu30Fe34,Ag,0,1,0
Ag40Cu12Fe48,Fe,0,1,0
Ag40Cu40Fe20,Ag,0,1,0
Ag40Cu47Fe13,Cu,0,1,0
Ag0Cu32Fe68,Fe,0,1,0
Ag0Cu54Fe46,Cu,0,1,0
Ag0Cu63Fe37,Cu,0,1,0
Ag0Cu70Fe30,Cu,0,1,0
